input,output
"Tom found 15 seashells, and Fred found 43 seashells on the beach . When they cleaned them , they discovered that 29 were cracked .How many seashells did they find together ?",58
Bridget weighs 39 pounds. Martha weighs 2 pounds.How much heavier is Bridget than Martha?,37
Mike had 34 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now 86 peaches .how many did he pick ?,52
".If there are 7 bottle caps in a box and Linda puts 7 more bottle caps inside, how many bottle caps are in the box?",14
"Kimberly has 5 Skittles. She buys 7 more. Later, Kimberly buys 18 oranges at the store.How many Skittles does Kimberly have in all?",12
Sally grew 113 turnips and 118 pumpkins . Mary grew 129 turnips .How many turnips did they grow in total ?,242
" After a party, 0.625 of the cake is left over. That night, big brother eats 0.25 of the cake.How much is left over after that?",0.375
Jonah added 0.3 cup of yellow raisins and 0.4 cup of black raisins to a batch of trail mix .How many cups of raisins did Jonah add in all ?,0.7
"Bonnie 's science class recorded the rainfall each day . They recorded 0.16666666666666666 centimeter of rain on Monday , 0.4166666666666667 centimeter of rain on Tuesday , and 0.08333333333333333 centimeter of rain on Wednesday .How many centimeters of rain did the class record in all ?",0.666666667
Martha starts with 3 cards. She gets 76 more from Emily.How many cards does Martha end with?,79
In March it rained 0.81 inches. It rained 0.35 inches less in April than in March.How much did it rain in April?,0.46
Ruth starts with 89 apples. She shares 5 with Peter.How many apples does Ruth end with?,84
A restaurant served 7 slices of pie during lunch and 5 during dinner today . It served 8 of them yesterday .How many slices of pie were served today ?,12
"Mary loves eating fruits. Mary paid $11.08 for berries, $14.33 for apples, and $9.31 for peaches.In total, how much money did she spend?",34.72
Mike picked 123 oranges and Melanie picked 104 oranges . Fred picked 130 apples .How many oranges were picked in total ?,227
 Connie had some marbles. She gave 73 to Juan. Now she has 70 marbles left.How many did she have to start with?,143
"Each day, the polar bear at Richmond's zoo eats 0.2 of a bucket of trout and 0.4 of a bucket of salmon.How many buckets of fish does the polar bear eat daily?",0.6
 179 birds were sitting in a tree. 38 more birds flew up to the tree.How many birds were there altogether in the tree?,217
Jenny ran 0.6 mile and walked 0.4 mile .How much farther did Jenny run than walk ?,0.2
 Rupert and Ronald aced their math test. So their mother bought for them a wonderful trampoline yesterday. Ronald jumped 157 times on  the trampoline. Rupert jumped 86 more times than Ronald.How many  times did they jump altogether?,243
There are 5 oak trees currently in the park . Park workers will plant 4 oak trees today .How many oak trees will the park have when the workers are finished ?,9
There were 3 roses in the vase . Alyssa cut some roses from her flower garden . There are now 14 roses in the vase .How many roses did she cut ?,11
There are 41 pencils in the drawer. Mike placed 30 more  pencils in the drawer.How many pencils are now there in total ?,71
Fred has 40 baseball cards . Keith bought 22 of Fred 's baseball cards .How many baseball cards does Fred have now ?,18
"Keith grew 29 cantelopes, Fred grew 16 cantelopes, and Jason grew  20 cantelopes.How many cantelopes did they grow in total ?",65
Emily collects 63 cards. Emily's father gives Emily 7 more. Bruce has 13 apples.How many cards does Emily have?,70
Larry starts with 91 cards. 17 are eaten by a hippopotamus.How many cards does Larry end with?,74
"Abe's family moved from the Bahamas to Japan, so they had convert their money into Japanese yen. Their checking account now has 6,359 yen and their savings account now has 3,485 yen.How many yen do they have?",9844
"A farmer estimates that he will harvest 48097 bushels of wheat . The weather is perfect during the growing season , so he harvests 684 bushels of wheat than expected .How many bushels of wheat does the farmer harvest ?",48781
Shawn has 13 blocks. Mildred has with 2 blocks. Mildred finds another 84.How many blocks does Mildred end with?,86
"Allie counted the leftover ice cream after a sundae party . She had 0.3333333333333333 carton of rocky road ice cream , 0.3333333333333333 carton of cookie dough ice cream , and 0.16666666666666666 carton of strawberry cheesecake ice cream .How many cartons of ice cream did Allie have in all ?",0.833333333
Kelly has 121 Nintendo games.How many does Kelly need to give away so that Kelly will have 22 games left?,99
Suzie found two worms in the yard and measured them with a ruler. One worm was 0.8 of an inch long. The other worm was 0.1 of an inch long.How much longer was the longer worm?,0.7
532 people are watching a movie in a theater. The theater has 750 seats.How many seats are empty in the theater?,218
James has 1222 balloons. Amy has 513 balloons.How many more balloons does James have than Amy?,208
Dan 's cat had kittens and 5 had spots . He gave 7 to Tim and 4 to Jason . He now has 5 kittens .How many kittens did he have to start with ?,16
 You go out for a long walk. You walk 0.75 mile and then sit down to take a rest. Then you walk 0.25 of a mile.How far did you walk altogether?,1
"A restaurant served 5 cakes during lunch, and 6 during dinner today . The restaurant served 3 cakes yesterday .How many cakes were served in total ?",14
 Sandy had 26 pet fish. She bought 6 more fish.How many pet fish does Sandy have now?,32
"Kaleen filled a bucket with 0.75 of a gallon of water. A few minutes later, she realized only 0.5 of a gallon of water remained.How much water had leaked out of the bucket?",0.25
Mary starts with 27 eggs. She finds another 4.How many eggs does Mary end with?,31
Sally had 27 Pokemon cards . Dan gave her 41 new Pokemon cards . Sally bought 20 Pokemon cards .How many Pokemon cards does Sally have now ?,88
Tom found 5 seashells on the beach . he gave Jessica 2 of the seashells .How many seashells does he now have ?,3
Sam 's dog had puppies and 8 had spots . He gave 2 to his friends . He now has 6 puppies .How many puppies did he have to start with ?,8
"Pamela bought 9.8 ounces of sugar , and she spilled 5.2 ounces of it on the floor .How much is ?",4.6
"There are 1986 books in Oak Grove 's public library . In addition , there are 5106 books in its school libraries .How many books do the libraries in Oak Grove have overall ?",7092
 Marcus has 210 baseball cards. He has 58 more than Carter.How many baseball cards does Carter have?,152
Jason has 43 blue and 16 red marbles . Tom has 24 blue marbles .How many blue marbles do they have in all ?,67
"Nina did a running drill to get in shape for soccer season. First, Nina ran 0.08333333333333333 of a mile. Then she ran 0.08333333333333333 of a mile and 0.6666666666666666 of a mile more.How many miles did Nina run in total?",0.833333333
 Ceasar needs to read a 563 page book for school. He has already read 147 pages.How many pages does he have left to read?,416
 Mary’s mom is getting ready for Mary’s birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon.How many balloons  did she blow up in all?,11
Bruce has 75 eggs. Kimberly has 17 eggs. He loses 70.How many eggs will Bruce have?,5
"Tom bought a skateboard for $ 9.46 , and spent $ 9.56 on marbles . Tom also spent $ 14.50 on shorts .In total , how much did Tom spend on toys ?",19.02
"In Shannon's apartment complex, 0.16666666666666666 of the apartments are one-bedroom apartments and 0.3333333333333333 are two-bedroom apartments.What fraction of the apartments are either one- or two-bedroom apartments?",0.5
Vince's bus ride to school is 0.625 of a mile and Zachary's bus ride is 0.5 of a mile.How much longer is Vince's bus ride than Zachary's?,0.125
John weighs 81 pounds. Roy weighs 4 pounds.How much heavier is John than Roy?,77
"At the hardware store, 0.25 of the nails are size 2d and 0.5 of the nails are size 4d.What fraction of the nails are either size 2d or 4d?",0.75
Sara picked 6 pears and Tim picked 5 pears from the pear tree.How many pears were picked in total ?,11
In Yardley it snowed 0.125 of an inch in the morning and 0.5 of an inch in the afternoon.What was the total amount of snowfall?,0.625
Jason has 3 Pokemon cards . Benny bought 2 of Jason 's Pokemon cards .How many Pokemon cards does Jason have now ?,1
Joan decided to sell all of her old books . She gathered up 33 books to sell . She sold 26 books in a yard sale .How many books does Joan now have ?,7
Joan went to 4 football games this year . She went to 9 games last year .How many football games did Joan go to in all ?,13
Randy needs 53 cupcakes for a birthday party. He already has 7 chocolate cupcakes and 19 vanilla cupcakes.How many more cupcakes should Randy buy?,32
Mildred weighs 59 pounds. Carol weighs 9 pounds.How much heavier is Mildred than Carol?,50
Greg and Sharon own neighboring cornfields . Greg harvested 0.4 acre of corn on Monday and Sharon harvested 0.1 acre .How many more acres did Greg harvest than Sharon ?,0.3
"Ella owns two dogs. Each day, one dog eats 0.125 of a scoop of dog food and the other dog eats 0.125 of a scoop.Together, how much dog food do the two dogs eat each day?",0.25
Mandy made an apple pie . She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg .How much more cinnamon than nutmeg did Mandy use ?,0.166666667
"A ship is filled with 5973 tons of cargo . It stops in the Bahamas , where sailors load 8723 tons of cargo onboard .How many tons of cargo does the ship hold now ?",14696
Mary has 9 yellow marbles Joan has 3 yellow marbles.How many yellow marbles do they have in all ?,12
Wendy ran 19.833333333333332 miles and walked 9.166666666666666 miles .How much farther did Wendy run than walk ?,10.66666667
"A bucket contains 3 gallons of water . If Derek adds 6.8 gallons more , how many gallons will there be in all ?",9.8
"Sandy has 10 books, Benny has 24 books, and Tim has  33 books.How many books do they have together ?",67
Tim has 22 books. Mike has 20 books.How many books do they have together ?,42
Alec and his roommates ate 3.25 pints of ice cream on Friday night and 0.25 of a pint of ice cream on Saturday night.How many pints did they eat in all?,3.5
There are 107 walnut trees currently in the park. Park workers will plant  104 more walnut trees today.How many walnut trees will the park have when the workers are finished ?,211
"Mrs. Hilt went to a concert. A total of 65899 people attended the concert. The next week, Mrs. Hilt went to a second concert, which had 119 more people in attendance.How many people were at the second concert?",66018
"Mike joined his school's band . He bought a trumpet for $ 145.16 , and a song book which was $ 5.84 .How much did Mike spend at the music store ?",151
"Mary had 18 baseball cards , and 8 were torn . Fred gave Mary 26 new baseball cards . Mary bought 40 baseball cards .How many baseball cards does Mary have now ?",84
Fred grew 38 cantelopes. Tim grew 44 cantelopes.How many cantelopes did they grow in total ?,82
"Jason went to the mall on Saturday to buy clothes. He spent $14.28 on shorts and $4.74 on a jacket.In total, how much money did Jason spend on clothing?",19.02
A car company produced 3884 cars in North America and 2871 cars in Europe .How many cars is that in all ?,6755
 Lucy has 212 fish.How many more fish does she need to buy to have 280 fish?,68
Jason had Pokemon cards. Jason gave 9 to his friends. Jason now has 4 Pokemon cards left.How many Pokemon cards did Jason have to start with ?,13
"Blake filled a bucket with 0.8 of a gallon of water. Later, he poured out 0.2 of a gallon of the water.How much water is left in the bucket?",0.6
Joan has 40 blue balloons. Melanie has 41 blue balloons .How many blue balloons do they have in total ?,81
Jason has 676 Pokemon cards. Alyssa bought 224 of Jason's  Pokemon cards.How many Pokemon cards does Jason have now ?,452
Sally picked 7 lemons and Mary picked 9 lemons from the lemon tree.How many lemons were picked in total ?,16
Melanie grew 139 turnips . Benny grew 113 turnips .How many turnips did they grow in all ?,252
"A construction company ordered 0.16666666666666666 ton of concrete , 0.16666666666666666 ton of bricks , and 0.5 ton of stone .How many tons of material did the company order in all ?",0.833333333
"A company painted some houses in Hancock County white and blue using a total of 6689 gallons of paint .If they used 660 gallons of white paint , how many gallons of blue paint did the company use ?",6029
Carlos starts with 39 bananas. 3 are eaten by a hippopotamus.How many bananas does Carlos end with?,36
"A ship is filled with 5,973 tons of cargo. It stops in the Bahamas, where sailors load 8,723 more tons of cargo onboard.How many tons of cargo does the ship hold now?",14696
There were 28 bales of hay in the barn. Tim stacked more bales in the barn today. There are now 54 bales of hay in the barn.How many bales did he store in the barn ?,26
" Your class had a pizza party. 0.375 of a pizza was left over, and 0.5 of another pizza was left over. You put them both into one box.How much  pizza do you have altogether?",0.875
 On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week.How many stickers did Pat have at the end of the  week?,61
Pamela starts with 30 bottle caps. Jean takes 26 away.How many bottle caps does Pamela end with?,4
Suzie found 2 worms in the yard and measured them with a ruler . 1 worm was 0.8 inch long . The other worm was 0.1 inch long .How much longer was the longer worm ?,0.7
There are 5 scissors and 3 pencils in the drawer . Jason placed 4 scissors in the drawer .How many scissors are now there in total ?,9
A DVD book holds 126 DVDs. There are 81 DVDs already in the book.How many more DVDs can be put in the book?,45
 James had 39 stickers. He got some more stickers for his birthday. Then he had 61 stickers.How many stickers did James get for his  birthday?,22
"Nina did a running drill to get in shape for soccer season . First , Nina ran 0.08333333333333333 mile . Then she ran 0.08333333333333333 mile and 0.6666666666666666 mile .How many miles did Nina run in total ?",0.833333333
Theresa has 32 crayons. Janice has 12 crayons. She shares 13 with Nancy.How many crayons will Theresa have?,19
There are 46 rulers in the drawer. Tim took 25  rulers from the drawer.How many rulers are now in the drawer ?,21
Lillian collects 88 candies. Lillian's father gives Lillian 5 more.How many candies does Lillian have?,93
Mary picked 122 oranges and Jason picked 105 oranges from the orange tree .How many oranges were picked in total ?,227
There are 55 oranges in a box. Deborah has 11 oranges in a bag. Susan takes 35 oranges out of the box.How many oranges are left in the box?,20
A restaurant served 9 hot dogs during lunch and 2 during dinner today . It served 5 of them yesterday .How many hot dogs were served today ?,11
Joan has 9 blue balloons  but lost 2 of them.How many blue balloons does Joan have now ?,7
"At a pizza party, Mason and his friends drank 2.6666666666666665 bottles of lemon-lime soda and 2.6666666666666665 bottles of cola.How much soda did they drink in all?",5.333333333
 Alyssa had 129 cookies. Aiyanna has 140.How many more cookies does Aiyanna have than Alyssa?,11
A construction company bought 5.91 tons of gravel and 8.11 tons of sand.How many tons of material did the company buy in all?,14.02
Craig walked 0.2 of a mile from school to David's house and 0.7 of a mile from David's house to his own house.How many miles did Craig walk in all?,0.9
"Joan bought toy cars for $ 14.88 , a skateboard for $ 4.88 , and got toy trucks for $ 5.86 . She spent $ 14.55 on pants .In total , how much did Joan spend on toys ?",25.62
"Tom has 30 violet balloons, he gave Fred 16 of the balloons.How many violet balloons does he now have ?",14
"Fred has 709 green balloons, he gave Sandy 221 of the balloons.How many green balloons does he now have ?",488
There are 79 pencils in a box. Eric takes 4 pencils.How many are left?,75
 Ethan has 31 presents. Alissa has 22 more than Ethan.How many presents does Alissa have?,53
"Zach wants to ride the Ferris wheel, the roller coaster, and the log ride. The Ferris wheel costs 2 tickets, the roller coaster costs 7 tickets and the log ride costs 1 ticket. Zach has 1 ticket.How many more tickets should Zach buy?",9
Joan has 10 books. Tom has 38 books.How many books do they have together ?,48
 Connie had some marbles. She gave 183 to Juan. Now she has 593 marbles left.How many did she have to start with?,776
 There were 14 kids on the soccer field. 22 kids decided to join in.Now how many kids are on the soccer field?,36
".If there are 7 eggs in a box and Daniel puts 4 more eggs inside, how many eggs are in the box?",11
"There were originally 20817 houses in Lincoln County . During a housing boom , developers built 97741 .How many houses are there now in Lincoln County ?",118558
Keith has 20 books. Jason has 21 books.How many books do they have together ?,41
"A bathing suit manufacturer has a supply of 14797 bathing suits for men . In addition , it has 4969 bathing suits for women .How many bathing suits are available overall ?",19766
There are 33 walnut trees currently in the park. Park workers will plant  44 more walnut trees today.How many walnut trees will the park have when the workers are finished ?,77
Joyce starts with 75 apples. She gives 52 to Larry.How many apples does Joyce end with?,23
"Last Saturday , Spencer walked all over town running errands . First , he walked 0.3 mile from his house to the library and 0.1 mile from the library to the post office . Then he walked 0.4 mile from the post office back home .How many miles did Spencer walk in all ?",0.8
A spaceship traveled 0.5 light-year from Earth to Planet X and 0.1 light-year from Planet X to Planet Y. Then it traveled 0.1 light-year from Planet Y back to Earth .How many light-years did the spaceship travel in all ?,0.7
William has 2 bottle caps. He buys 41 more.How many bottle caps does William have in all?,43
Sara had 21 quarters in her bank. Her dad gave her 49 more quarters.How many quarters does she have now ?,70
"Joyce has 8 eggs. Marie gives Joyce 6 more. Later, Joyce buys 13 erasers at the store.How many eggs does Joyce have in all?",14
Craig walked 0.2 mile from school to David 's house and 0.7 mile from David 's house to his own house .How many miles did Craig walk in all ?,0.9
Joan grew 29 carrots and 14 watermelons . Jessica grew 11 carrots .How many carrots did they grow in all ?,40
A carpenter bought a piece of wood that was 8.9 centimeters long. Then he sawed 2.3 centimeters off the end.How long is the piece of wood now?,6.6
"A dust storm sweeps across the prairie. It covers 64,535 acres of the prairie in dust, but leaves 522 acres untouched.How many acres does the prairie cover?",65057
Joseph has 67 candies. Kathy gives Joseph 38 more.How many candies does Joseph have in all?,105
"Logan recorded the snowfall every day during a snowstorm. He recorded 0.3333333333333333 of a centimeter on Wednesday, 0.3333333333333333 of a centimeter on Thursday, and 0.2222222222222222 of a centimeter on Friday.How many total centimeters of snow did Logan record?",0.888888889
" Joe had 50 toy cars.If he gets 12 more cars, how many cars will he have then?",62
There are 33 oak trees currently in the park. Park workers had to cut down  18 oak trees that were damaged.How many oak trees will be in the park when the workers are finished ?,15
Mildred collects 77 oranges. Mildred's father gives Mildred 2 more.How many oranges does Mildred have?,79
"Sean has 9 apples. Susan gives Sean 8 more. Later, Sean buys 18 tickets at the store.How many apples does Sean have in all?",17
A restaurant served 6 cakes during lunch and 9 during dinner today.How many cakes were served today ?,15
"Carefully following a recipe, Kenny used exactly 0.16666666666666666 of a cup of oil and 1.1666666666666667 cups of water.How many cups of liquid did Kenny use in all?",1.333333333
"Sara grew 4 onions, Sally grew 5 onions, and Fred grew  9 onions.How many onions did they grow in all ?",18
There are 2 maple trees and 5 popular trees currently in the park . Park workers will plant 9 maple trees today .How many maple trees will the park have when the workers are finished ?,11
"Jessica spent $ 10.22 on a cat toy , and a cage cost her $ 11.73 .What was the total cost of Jessica 's purchases ?",21.95
"Karen added 0.25 cup of walnuts to a batch of trail mix . Later , she added 0.25 cup of almonds .How many cups of nuts did Karen put in the trail mix in all ?",0.5
 You have collected 7 crickets.How many more crickets do you need to collect to have 11 crickets?,4
".If there are 7 bottle caps in a box and Linda puts 7 more bottle caps inside, how many bottle caps are in the box?",14
Brenda starts with 7 Skittles. She buys 8 more.How many Skittles does Brenda end with?,15
Sara picked 35 pears and 27 apples from the orchard . She gave 28 pears to Dan .How many pears does Sara have ?,7
"Fred found 47 seashells on the beach, he gave Jessica 25 of the seashells.How many seashells does he now have ?",22
"Last year , 90171 people were born in a country , and 16320 people immigrated to it .How many new people began living in the country last year ?",106491
"Alyssa loves eating fruits. Alyssa paid $12.08 for grapes, and $9.85 for cherries.In total, how much money did Alyssa spend?",21.93
"Tom went to 4 hockey games this year , but missed 7 . He went to 9 games last year .How many hockey games did Tom go to in all ?",13
There were 9 red orchids and 3 white orchids in the vase . Sally cut some red orchids from her flower garden . There are now 15 red orchids in the vase .How many red orchids did she cut ?,6
"A farmer started the day with 8.75 buckets of seeds. After spending the morning sowing seeds, she now has 6 buckets left.How many buckets of seeds did the farmer sow?",2.75
" In a school, there are 542 girls and 387 boys.How many pupils are there in that school?",929
Carol starts with 42 blocks. She loses 25.How many blocks does Carol end with?,17
Gordon bought 3.42 pounds of fruit for a class party . The class ate 2.2 pounds of the fruit .How much fruit is ?,1.22
Sam found 35 seashells on the beach. He gave Joan 18 of the seashells .How many seashells does he now have ?,17
Patricia starts with 76 candies. Albert takes 5 away.How many candies does Patricia end with?,71
Jason had Pokemon cards . He gave 9 to his friends . He now has 4 Pokemon cards .How many Pokemon cards did he have to start with ?,13
Alyssa picked 42 pears and Nancy picked 17 pears from the pear tree .How many pears were picked in all ?,59
" Mark has 13 trees in his backyard.If he plants 12 more, how many trees will he have?",25
A restaurant made 9 hamburgers to serve during lunch . Only 3 were actually served .How many hamburgers were over from lunch ?,6
Professor Ellison weighed two pieces of metal for an experiment. The piece of iron weighed 11.166666666666666 pounds and the piece of aluminum weighed 0.8333333333333334 of a pound.How much more did the piece of iron weigh than the piece of aluminum?,10.33333333
Melissa has 88 bananas. She shares 4 with Joshua.How many bananas will Melissa have?,84
There are 34 dogwood trees currently in the park . Park workers will plant 49 dogwood trees today .How many dogwood trees will the park have when the workers are finished ?,83
There are 115 pencils in the drawer . Sara placed 100 pencils in the drawer .How many pencils are now there in all ?,215
There are 7 dogwood trees currently in the park . Park workers will plant 3 dogwood trees today and 2 dogwood trees tomorrow .How many dogwood trees will the park have when the workers are finished ?,12
Eugene has 51 pencils. He gets 6 more from Joyce.How many pencils does Eugene have in all?,57
"Sally found 9 seashells , Tom found 7 seashells , and Jessica found 5 seashells on the beach .How many seashells did they find together ?",21
Dorothy has 72 cards. She gives 5 to Harold.How many cards will Dorothy have?,67
"There were originally 20,817 houses in Lincoln County. During a housing boom, developers built 97,741 more.How many houses are there now in Lincoln County?",118558
A truck carrying 4.1 pounds of sand travels to a construction yard and loses 2.4 pounds of sand along the way .How much sand does the truck have when it arrives at the yard ?,1.7
Nicholas starts with 8 bottle caps. He gets 85 more from Catherine.How many bottle caps does Nicholas end with?,93
"Kendall is learning to drive , so this weekend she practiced driving 0.16666666666666666 mile with her mother and another 0.5 mile with her father .How far did Kendall drive in all ?",0.666666667
William starts with 15 tickets. He buys 3 more.How many tickets does William end with?,18
"Each year, salmon travel upstream, going from the ocean to the rivers where they were born. This year, 712,261 male and 259,378 female salmon returned to their rivers.How many salmon made the trip?",971639
Jessica weighs 49 pounds. Thomas weighs 44 pounds.How much heavier is Jessica than Thomas?,5
Brenda has 34 apples. She gets 37 more from Willie.How many apples does Brenda have in all?,71
 Bryan has 50 skittles. Ben has 20 M&M’s.Who has more? How many more does he have?,30
Connie has 323 marbles. Juan has 175 more marbles than Connie.How many marbles does Juan have?,498
"Molly owns the Wafting Pie Company . This morning , her employees used 816 eggs to bake pumpkin pies .If her employees used a total of 1339 eggs today , how many eggs did they use in the afternoon ?",523
 Iesha has 344 books. 136 are about school and the rest are about sports.How many books about sports does Iesha have?,208
" There were 105 parents in the program and 698 pupils, too.How many people were present in the program?",803
Billy has 62 crayons. 52 are eaten by a hippopotamus.How many crayons will Billy have?,10
There are 69 erasers in a box. Jane has 15 erasers in a bag. Doris takes 54 erasers out of the box.How many erasers are left in the box?,15
 Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish.How many fish does she have now?,69
"So far, an orchard has sold a combined total of 9,792 pounds of fresh and frozen fruit this season.If they have sold 3,513 pounds of frozen fruit, how many pounds of fresh fruit have been sold so far?",6279
Jessica had 8 quarters in her bank . Her sister borrowed 3 of her quarters .How many quarters does Jessica have now ?,5
Vince 's bus ride to school is 0.625 mile and Zachary 's bus ride is 0.5 mile .How much longer is Vince 's bus ride than Zachary 's ?,0.125
Sandy had 36 pennies and 31 nickels in her bank . Her dad borrowed 20 nickels from Sandy .How many nickels does she have now ?,11
Joshua has 40 bottle caps. He buys 7 more.How many bottle caps does Joshua have in all?,47
Mary is baking a cake. The recipe wants 8 cups of flour. She already put in 2 cups.How many more cups does she need to add ?,6
 231 birds were sitting in a tree. Some more fly up to the tree. Then there were 312 birds in the tree.How many more fly up to the tree?,81
"Mary had 33 Pokemon cards , and 6 were torn . Sam gave Mary 23 new Pokemon cards .How many Pokemon cards does Mary have now ?",56
There are 112 short trees and 119 tall trees currently in the park . Park workers will plant 105 short trees today .How many short trees will the park have when the workers are finished ?,217
".If Lawrence walked 4 kilometers at 3 kilometers per hour, how long was Lawrence walking?",1
" Mrs. Hilt looked at her car's odometer before a trip. The odometer showed that she had traveled 212.3 miles. When she stopped for lunch,  the odometer read 372.0.How many miles had she traveled?",159.7
"Last year , egg producers in Douglas County produced 1416 eggs . This year , those same farms produced 4636 eggs .How many more eggs did the farms produce this year ?",3220
" Carson’s teacher gives out gold stars for great math work. Yesterday, Carson earned 6 gold stars. Today, he earned 9 more.How many gold  stars did Carson earn in all?",15
Melanie had 10 quarters and 17 pennies in her bank . Her dad gave her 27 pennies and her mother gave her 19 pennies .How many pennies does Melanie have now ?,63
Roadster 's Paving Company used 10 tons of cement to pave Lexi 's street and 5.1 tons of cement to pave Tess 's street .How much cement did Roadster 's Paving Company use in all ?,15.1
Charles has 25 Skittles. Diana takes 7 away.How many Skittles will Charles have?,18
"Jason joined his school 's band . He bought a flute for $ 142.46 , a music tool for $ 8.89 , and a song book for $ 7 .How much did Jason spend at the music store ?",158.35
 2 toucans are sitting on a tree limb. 1 more toucan joins them.How many toucans in all?,3
" There were 3409 pieces of candy in a jar.If 145 pieces were red and the rest were blue, how many were blue?",3264
"A construction company ordered 0.16666666666666666 of a ton of concrete, 0.16666666666666666 of a ton of bricks, and 0.5 of a ton of stone.How many tons of material did the company order in all?",0.833333333
Nancy grew 6 potatoes . Sandy grew 7 potatoes .How many potatoes did they grow in total ?,13
Alyssa 's dog had puppies . She gave 7 to her friends . She now has 5 puppies .How many puppies did she have to start with ?,12
 Mrs. Sheridan has 11 cats. How many more cats does Mrs.Sheridan need to have 43 cats?,32
"After paying 6 dollars for the pie , Mary has 52 dollars , her friend has 43 dollars .How much money did she have before buying the pie ?",58
"Blake filled a bucket with 0.8 gallon of water . Later , he poured out 0.2 gallon of the water .How much water is in the bucket ?",0.6
"Brandy made trail mix for a backpacking trip. She used 0.16666666666666666 of a pound of peanuts, 0.16666666666666666 of a pound of chocolate chips, and 0.08333333333333333 of a pound of raisins.How many pounds of trail mix did Brandy make?",0.416666667
Sara got fast food for lunch . Sara spent $ 5.36 on a hotdog and $ 5.10 on a salad .What was the total of the lunch bill ?,10.46
There are 39 scissors and 22 pencils in the drawer . Dan placed 13 scissors in the drawer .How many scissors are now there in total ?,52
"Joan purchased a basketball game for $5.20, and a racing game for $4.23.How much did Joan spend on video games?",9.43
"Clarence has 5 oranges. He gets 3 more from Joyce. Later, Clarence buys 9 Skittles at the store.How many oranges does Clarence have in all?",8
Mike has 87 baseball cards. Sam bought 13 of Mike's  baseball cards.How many baseball cards does Mike have now ?,74
 John needs $2.50. He has $0.75.How much more money does he need?,1.75
Nancy grew 6 potatoes. Sandy grew 7 potatoes.How many potatoes did they grow in total ?,13
"There is 0.16666666666666666 of a cup of oil in Scarlett's measuring cup. If Scarlett adds 0.6666666666666666 of a cup more, how much oil will be in the measuring cup?",0.833333333
In March it rained 0.81 inches . It rained 0.35 inches less in April than in March .How much did it rain in April ?,0.46
 Bobby has 142 books. Kristi has 78 books.How many more books does Bobby have than Kristi?,64
Mary had 8 potatoes in the garden . The rabbits ate 3 of the potatoes .How many potatoes does Mary now have ?,5
Jason had 49 quarters in his bank . His dad gave him 25 quarters .How many quarters does he have now ?,74
Teresa starts with 52 bananas. She gets 2 more from Rachel.How many bananas does Teresa end with?,54
William has 2 bottle caps. He buys 41 more.How many bottle caps does William have in all?,43
Last week Tom had 74 dollars . He washed cars over the weekend and now has 86 dollars .How much money did he make washing cars ?,12
There are 53 maple trees currently in the park. Park workers will plant more maple trees today. When the workers are finished there will be 64 maple trees in the park.How many maple trees did the workers plant today ?,11
Joan found 75 seashells and 14 starfishes on the beach . She gave Tim some of her seashells . She has 62 seashell .How many seashells did she give to Tim ?,13
 Connie has 41 red markers and 64 blue markers.How many markers does she have altogether?,105
" Jazmin had 1209 dolls and Geraldine had 2186 dolls.If they put their dolls together, how many would they have?",3395
"Diane is a beekeeper. Last year, she harvested 2,479 pounds of honey. This year, she bought some new hives and increased her honey harvest by 6,085 pounds.How many pounds of honey did Diane harvest this year?",8564
"Alyssa went to 11 soccer games this year , but missed 12 . She went to 13 games last year and plans to go to 15 games next year .How many soccer games will Alyssa go to in all ?",39
There were 3 roses in the vase. Alyssa cut some more roses from her flower garden. There are now 14 roses in the vase.How many roses did she cut ?,11
Irene just bought a new lamp for her bedside table. The old lamp was 1 foot tall and the new lamp is 2.3333333333333335 feet tall.How much taller is the new lamp than the old lamp?,1.333333333
Norma starts with 47 bananas. She loses 45.How many bananas does Norma end with?,2
Helen starts with 82 cards. Gary takes 9 away.How many cards does Helen end with?,73
"Recently , the value of Kate 's retirement fund decreased by $ 12 .If her fund was worth $ 1472 before , how much is it worth now ?",1460
"Mike bought some toys . He bought marbles for $ 9.05 , a football for $ 4.95 , and spent $ 6.52 on a baseball .In total , how much did Mike spend on toys ?",20.52
Sara has 10 marbles. She loses 7.How many marbles will Sara have?,3
Tom found 5 seashells on the beach. he gave Jessica 2 of the seashells.How many seashells does he now have ?,3
A petri dish originally contained 600 bacteria . A scientist let the bacteria grow and now there are 8917 of them .How many more bacteria are there now ?,8317
There are 41 short trees and 44 tall trees currently in the park . Park workers will plant 57 short trees today .How many short trees will the park have when the workers are finished ?,98
There are 25 popular trees currently in the park . Park workers will plant 73 popular trees today .How many popular trees will the park have when the workers are finished ?,98
"Joan found 6 seashells, and Jessica found 8 seashells on the beach .How many seashells did they find together ?",14
Fred has 40 baseball cards. Keith bought 22 of Fred's  baseball cards.How many baseball cards does Fred have now ?,18
There were 46 bales of hay in the barn and 32 bales in the shed . Tom stacked bales in the barn today . There are now 60 bales of hay in the barn .How many bales did he store in the barn ?,14
